,Center,DemandZone,Subsection,Distance_km
108,DC3,Zone9,Sub1,878
109,DC3,Zone9,Sub2,991
110,DC3,Zone9,Sub3,1074
111,DC3,Zone10,Sub1,1062
112,DC3,Zone10,Sub2,1272
113,DC3,Zone10,Sub3,1287
114,DC3,Zone11,Sub1,389
115,DC3,Zone11,Sub2,485
116,DC3,Zone11,Sub3,412
117,DC3,Zone12,Sub1,2625
118,DC3,Zone12,Sub2,2300
119,DC3,Zone12,Sub3,2453
120,DC3,Zone13,Sub1,1450
121,DC3,Zone13,Sub2,1409
122,DC3,Zone13,Sub3,1377
123,DC3,Zone14,Sub1,1979
124,DC3,Zone14,Sub2,2158
125,DC3,Zone14,Sub3,1699
126,DC4,Zone1,Sub1,982
127,DC4,Zone1,Sub2,754
128,DC4,Zone1,Sub3,863
129,DC4,Zone2,Sub1,342
130,DC4,Zone2,Sub2,426
131,DC4,Zone2,Sub3,336
132,DC4,Zone3,Sub1,1879
133,DC4,Zone3,Sub2,1724
134,DC4,Zone3,Sub3,2204
135,DC4,Zone4,Sub1,1566
136,DC4,Zone4,Sub2,1630
137,DC4,Zone4,Sub3,1525
138,DC4,Zone5,Sub1,1042
139,DC4,Zone5,Sub2,1007
140,DC4,Zone5,Sub3,1166
141,DC4,Zone6,Sub1,1028
142,DC4,Zone6,Sub2,1003
143,DC4,Zone6,Sub3,941
144,DC4,Zone7,Sub1,884
145,DC4,Zone7,Sub2,891
146,DC4,Zone7,Sub3,1039
147,DC4,Zone8,Sub1,1604
148,DC4,Zone8,Sub2,1931
149,DC4,Zone8,Sub3,1543
150,DC4,Zone9,Sub1,1587
151,DC4,Zone9,Sub2,1549
152,DC4,Zone9,Sub3,1637
153,DC4,Zone10,Sub1,2659
154,DC4,Zone10,Sub2,2562
155,DC4,Zone10,Sub3,2567
156,DC4,Zone11,Sub1,952
157,DC4,Zone11,Sub2,749
158,DC4,Zone11,Sub3,872
159,DC4,Zone12,Sub1,2240
160,DC4,Zone12,Sub2,2275
161,DC4,Zone12,Sub3,2116
162,DC4,Zone13,Sub1,1819
163,DC4,Zone13,Sub2,1785
164,DC4,Zone13,Sub3,1578
165,DC4,Zone14,Sub1,1571
166,DC4,Zone14,Sub2,1991
167,DC4,Zone14,Sub3,2009
168,DC5,Zone1,Sub1,1443
169,DC5,Zone1,Sub2,1328
170,DC5,Zone1,Sub3,1434
171,DC5,Zone2,Sub1,1642
172,DC5,Zone2,Sub2,1643
173,DC5,Zone2,Sub3,1614
174,DC5,Zone3,Sub1,2155
175,DC5,Zone3,Sub2,1957
176,DC5,Zone3,Sub3,1973
177,DC5,Zone4,Sub1,2388
178,DC5,Zone4,Sub2,1875
179,DC5,Zone4,Sub3,1912
180,DC5,Zone5,Sub1,1346
181,DC5,Zone5,Sub2,1117
182,DC5,Zone5,Sub3,1160
183,DC5,Zone6,Sub1,288
184,DC5,Zone6,Sub2,300
185,DC5,Zone6,Sub3,277
186,DC5,Zone7,Sub1,798
187,DC5,Zone7,Sub2,889
188,DC5,Zone7,Sub3,778
189,DC5,Zone8,Sub1,1831
190,DC5,Zone8,Sub2,2135
191,DC5,Zone8,Sub3,2159
192,DC5,Zone9,Sub1,717
193,DC5,Zone9,Sub2,733
194,DC5,Zone9,Sub3,717
195,DC5,Zone10,Sub1,2023
196,DC5,Zone10,Sub2,1861
197,DC5,Zone10,Sub3,1779
198,DC5,Zone11,Sub1,1116
199,DC5,Zone11,Sub2,1231
200,DC5,Zone11,Sub3,1353
201,DC5,Zone12,Sub1,1420
202,DC5,Zone12,Sub2,1451
203,DC5,Zone12,Sub3,1375
204,DC5,Zone13,Sub1,1621
205,DC5,Zone13,Sub2,1236
206,DC5,Zone13,Sub3,1414
207,DC5,Zone14,Sub1,2528
208,DC5,Zone14,Sub2,2363
209,DC5,Zone14,Sub3,2132
210,DC6,Zone1,Sub1,687
211,DC6,Zone1,Sub2,711
212,DC6,Zone1,Sub3,583
213,DC6,Zone2,Sub1,1705
214,DC6,Zone2,Sub2,1707
215,DC6,Zone2,Sub3,1771
216,DC6,Zone3,Sub1,1320
217,DC6,Zone3,Sub2,1612
218,DC6,Zone3,Sub3,1359
219,DC6,Zone4,Sub1,690
220,DC6,Zone4,Sub2,886
221,DC6,Zone4,Sub3,914
222,DC6,Zone5,Sub1,710
223,DC6,Zone5,Sub2,751
224,DC6,Zone5,Sub3,778
225,DC6,Zone6,Sub1,330
226,DC6,Zone6,Sub2,362
227,DC6,Zone6,Sub3,438
228,DC6,Zone7,Sub1,2306
229,DC6,Zone7,Sub2,2398
230,DC6,Zone7,Sub3,2415
231,DC6,Zone8,Sub1,788
232,DC6,Zone8,Sub2,700
233,DC6,Zone8,Sub3,681
234,DC6,Zone9,Sub1,2394
235,DC6,Zone9,Sub2,2112
236,DC6,Zone9,Sub3,2113
237,DC6,Zone10,Sub1,200
238,DC6,Zone10,Sub2,221
239,DC6,Zone10,Sub3,236
240,DC6,Zone11,Sub1,1547
241,DC6,Zone11,Sub2,1506
242,DC6,Zone11,Sub3,1510
243,DC6,Zone12,Sub1,1726
244,DC6,Zone12,Sub2,1709
245,DC6,Zone12,Sub3,2048
246,DC6,Zone13,Sub1,1262
247,DC6,Zone13,Sub2,1451
248,DC6,Zone13,Sub3,1372
249,DC6,Zone14,Sub1,1001
250,DC6,Zone14,Sub2,853
251,DC6,Zone14,Sub3,1055
