,Center,DemandZone,Subsection,Distance_km
129,DC4,Zone2,Sub1,477
130,DC4,Zone2,Sub2,520
131,DC4,Zone2,Sub3,449
132,DC4,Zone3,Sub1,2142
133,DC4,Zone3,Sub2,1659
134,DC4,Zone3,Sub3,1769
135,DC4,Zone4,Sub1,2287
136,DC4,Zone4,Sub2,1898
137,DC4,Zone4,Sub3,2043
138,DC4,Zone5,Sub1,1487
139,DC4,Zone5,Sub2,1385
140,DC4,Zone5,Sub3,1127
141,DC4,Zone6,Sub1,2301
142,DC4,Zone6,Sub2,2075
143,DC4,Zone6,Sub3,2346
144,DC4,Zone7,Sub1,599
145,DC4,Zone7,Sub2,499
146,DC4,Zone7,Sub3,558
147,DC4,Zone8,Sub1,2106
148,DC4,Zone8,Sub2,1971
149,DC4,Zone8,Sub3,2546
150,DC4,Zone9,Sub1,2416
151,DC4,Zone9,Sub2,2034
152,DC4,Zone9,Sub3,1788
153,DC4,Zone10,Sub1,1342
154,DC4,Zone10,Sub2,1536
155,DC4,Zone10,Sub3,1420
156,DC4,Zone11,Sub1,1692
157,DC4,Zone11,Sub2,1715
158,DC4,Zone11,Sub3,1637
159,DC4,Zone12,Sub1,370
160,DC4,Zone12,Sub2,362
161,DC4,Zone12,Sub3,394
162,DC4,Zone13,Sub1,375
163,DC4,Zone13,Sub2,427
164,DC4,Zone13,Sub3,477
165,DC4,Zone14,Sub1,866
166,DC4,Zone14,Sub2,818
167,DC4,Zone14,Sub3,860
168,DC5,Zone1,Sub1,695
169,DC5,Zone1,Sub2,637
170,DC5,Zone1,Sub3,768
171,DC5,Zone2,Sub1,346
172,DC5,Zone2,Sub2,358
173,DC5,Zone2,Sub3,361
174,DC5,Zone3,Sub1,347
175,DC5,Zone3,Sub2,273
176,DC5,Zone3,Sub3,314
177,DC5,Zone4,Sub1,2724
178,DC5,Zone4,Sub2,2501
179,DC5,Zone4,Sub3,2536
180,DC5,Zone5,Sub1,1973
181,DC5,Zone5,Sub2,2180
182,DC5,Zone5,Sub3,2342
183,DC5,Zone6,Sub1,1411
184,DC5,Zone6,Sub2,1470
185,DC5,Zone6,Sub3,1456
186,DC5,Zone7,Sub1,1192
187,DC5,Zone7,Sub2,1565
188,DC5,Zone7,Sub3,1228
189,DC5,Zone8,Sub1,283
190,DC5,Zone8,Sub2,332
191,DC5,Zone8,Sub3,270
192,DC5,Zone9,Sub1,1191
193,DC5,Zone9,Sub2,1352
194,DC5,Zone9,Sub3,1373
195,DC5,Zone10,Sub1,1980
196,DC5,Zone10,Sub2,2412
197,DC5,Zone10,Sub3,2286
198,DC5,Zone11,Sub1,2204
199,DC5,Zone11,Sub2,2263
200,DC5,Zone11,Sub3,1982
201,DC5,Zone12,Sub1,2281
202,DC5,Zone12,Sub2,2257
203,DC5,Zone12,Sub3,2502
204,DC5,Zone13,Sub1,1299
205,DC5,Zone13,Sub2,1299
206,DC5,Zone13,Sub3,1302
207,DC5,Zone14,Sub1,1808
208,DC5,Zone14,Sub2,1942
209,DC5,Zone14,Sub3,1725
210,DC6,Zone1,Sub1,985
211,DC6,Zone1,Sub2,876
212,DC6,Zone1,Sub3,880
213,DC6,Zone2,Sub1,2802
214,DC6,Zone2,Sub2,2755
215,DC6,Zone2,Sub3,2291
216,DC6,Zone3,Sub1,1638
217,DC6,Zone3,Sub2,1382
218,DC6,Zone3,Sub3,1274
219,DC6,Zone4,Sub1,1717
220,DC6,Zone4,Sub2,1944
221,DC6,Zone4,Sub3,1769
222,DC6,Zone5,Sub1,2101
223,DC6,Zone5,Sub2,1847
224,DC6,Zone5,Sub3,1926
225,DC6,Zone6,Sub1,1699
226,DC6,Zone6,Sub2,1381
227,DC6,Zone6,Sub3,1731
228,DC6,Zone7,Sub1,2181
229,DC6,Zone7,Sub2,1799
230,DC6,Zone7,Sub3,1812
231,DC6,Zone8,Sub1,1439
232,DC6,Zone8,Sub2,1593
233,DC6,Zone8,Sub3,1482
234,DC6,Zone9,Sub1,2760
235,DC6,Zone9,Sub2,2825
236,DC6,Zone9,Sub3,2791
237,DC6,Zone10,Sub1,894
238,DC6,Zone10,Sub2,1032
239,DC6,Zone10,Sub3,897
240,DC6,Zone11,Sub1,232
241,DC6,Zone11,Sub2,225
242,DC6,Zone11,Sub3,245
243,DC6,Zone12,Sub1,1949
244,DC6,Zone12,Sub2,1978
245,DC6,Zone12,Sub3,2126
246,DC6,Zone13,Sub1,1007
247,DC6,Zone13,Sub2,1213
248,DC6,Zone13,Sub3,1232
249,DC6,Zone14,Sub1,1153
250,DC6,Zone14,Sub2,928
251,DC6,Zone14,Sub3,1010
