,Center,DemandZone,Subsection,Distance_km
56,DC2,Zone5,Sub3,917
57,DC2,Zone6,Sub1,1063
58,DC2,Zone6,Sub2,1068
59,DC2,Zone6,Sub3,977
60,DC2,Zone7,Sub1,314
61,DC2,Zone7,Sub2,282
62,DC2,Zone7,Sub3,345
63,DC2,Zone8,Sub1,1666
64,DC2,Zone8,Sub2,1514
65,DC2,Zone8,Sub3,1832
66,DC2,Zone9,Sub1,1044
67,DC2,Zone9,Sub2,1226
68,DC2,Zone9,Sub3,1147
69,DC2,Zone10,Sub1,294
70,DC2,Zone10,Sub2,319
71,DC2,Zone10,Sub3,331
72,DC2,Zone11,Sub1,1084
73,DC2,Zone11,Sub2,1008
74,DC2,Zone11,Sub3,972
75,DC2,Zone12,Sub1,1690
76,DC2,Zone12,Sub2,1857
77,DC2,Zone12,Sub3,2252
78,DC2,Zone13,Sub1,2155
79,DC2,Zone13,Sub2,2046
80,DC2,Zone13,Sub3,2100
81,DC2,Zone14,Sub1,1860
82,DC2,Zone14,Sub2,2078
83,DC2,Zone14,Sub3,2031
84,DC3,Zone1,Sub1,477
85,DC3,Zone1,Sub2,581
86,DC3,Zone1,Sub3,502
87,DC3,Zone2,Sub1,912
88,DC3,Zone2,Sub2,878
89,DC3,Zone2,Sub3,840
90,DC3,Zone3,Sub1,544
91,DC3,Zone3,Sub2,473
92,DC3,Zone3,Sub3,563
93,DC3,Zone4,Sub1,1714
94,DC3,Zone4,Sub2,1676
95,DC3,Zone4,Sub3,1542
96,DC3,Zone5,Sub1,1982
97,DC3,Zone5,Sub2,2099
98,DC3,Zone5,Sub3,1974
99,DC3,Zone6,Sub1,1791
100,DC3,Zone6,Sub2,1694
101,DC3,Zone6,Sub3,2077
102,DC3,Zone7,Sub1,262
103,DC3,Zone7,Sub2,244
104,DC3,Zone7,Sub3,251
105,DC3,Zone8,Sub1,579
106,DC3,Zone8,Sub2,671
107,DC3,Zone8,Sub3,620
108,DC3,Zone9,Sub1,1408
109,DC3,Zone9,Sub2,1383
110,DC3,Zone9,Sub3,1584
111,DC3,Zone10,Sub1,1035
112,DC3,Zone10,Sub2,921
113,DC3,Zone10,Sub3,1111
114,DC3,Zone11,Sub1,1718
115,DC3,Zone11,Sub2,1655
116,DC3,Zone11,Sub3,1333
117,DC3,Zone12,Sub1,1753
118,DC3,Zone12,Sub2,1835
119,DC3,Zone12,Sub3,2023
120,DC3,Zone13,Sub1,966
121,DC3,Zone13,Sub2,885
122,DC3,Zone13,Sub3,870
123,DC3,Zone14,Sub1,275
124,DC3,Zone14,Sub2,282
125,DC3,Zone14,Sub3,319
126,DC4,Zone1,Sub1,1652
127,DC4,Zone1,Sub2,1320
128,DC4,Zone1,Sub3,1394
129,DC4,Zone2,Sub1,2260
130,DC4,Zone2,Sub2,2264
131,DC4,Zone2,Sub3,2367
132,DC4,Zone3,Sub1,1960
133,DC4,Zone3,Sub2,1506
134,DC4,Zone3,Sub3,1961
135,DC4,Zone4,Sub1,1462
136,DC4,Zone4,Sub2,1514
137,DC4,Zone4,Sub3,1551
138,DC4,Zone5,Sub1,720
139,DC4,Zone5,Sub2,728
140,DC4,Zone5,Sub3,662
141,DC4,Zone6,Sub1,2214
142,DC4,Zone6,Sub2,2494
143,DC4,Zone6,Sub3,2353
144,DC4,Zone7,Sub1,373
145,DC4,Zone7,Sub2,301
146,DC4,Zone7,Sub3,342
147,DC4,Zone8,Sub1,1629
148,DC4,Zone8,Sub2,1736
149,DC4,Zone8,Sub3,1743
150,DC4,Zone9,Sub1,1995
151,DC4,Zone9,Sub2,1903
152,DC4,Zone9,Sub3,1540
153,DC4,Zone10,Sub1,1162
154,DC4,Zone10,Sub2,1123
155,DC4,Zone10,Sub3,1121
156,DC4,Zone11,Sub1,2055
157,DC4,Zone11,Sub2,1968
158,DC4,Zone11,Sub3,2200
159,DC4,Zone12,Sub1,1785
160,DC4,Zone12,Sub2,1894
161,DC4,Zone12,Sub3,1786
162,DC4,Zone13,Sub1,2332
163,DC4,Zone13,Sub2,2333
164,DC4,Zone13,Sub3,1957
165,DC4,Zone14,Sub1,2746
166,DC4,Zone14,Sub2,2498
167,DC4,Zone14,Sub3,2647
168,DC5,Zone1,Sub1,2172
169,DC5,Zone1,Sub2,1869
170,DC5,Zone1,Sub3,2425
171,DC5,Zone2,Sub1,2365
172,DC5,Zone2,Sub2,2161
173,DC5,Zone2,Sub3,2392
174,DC5,Zone3,Sub1,870
175,DC5,Zone3,Sub2,768
176,DC5,Zone3,Sub3,793
177,DC5,Zone4,Sub1,1544
178,DC5,Zone4,Sub2,1238
179,DC5,Zone4,Sub3,1259
180,DC5,Zone5,Sub1,1648
181,DC5,Zone5,Sub2,1633
182,DC5,Zone5,Sub3,1687
183,DC5,Zone6,Sub1,1970
184,DC5,Zone6,Sub2,1945
185,DC5,Zone6,Sub3,2012
186,DC5,Zone7,Sub1,838
187,DC5,Zone7,Sub2,975
188,DC5,Zone7,Sub3,940
189,DC5,Zone8,Sub1,924
190,DC5,Zone8,Sub2,1073
191,DC5,Zone8,Sub3,970
192,DC5,Zone9,Sub1,989
193,DC5,Zone9,Sub2,1124
194,DC5,Zone9,Sub3,989
195,DC5,Zone10,Sub1,407
196,DC5,Zone10,Sub2,368
197,DC5,Zone10,Sub3,382
198,DC5,Zone11,Sub1,912
199,DC5,Zone11,Sub2,1016
200,DC5,Zone11,Sub3,963
201,DC5,Zone12,Sub1,1951
202,DC5,Zone12,Sub2,2187
203,DC5,Zone12,Sub3,2356
204,DC5,Zone13,Sub1,2266
205,DC5,Zone13,Sub2,1995
206,DC5,Zone13,Sub3,2195
207,DC5,Zone14,Sub1,2708
208,DC5,Zone14,Sub2,2165
209,DC5,Zone14,Sub3,2796
210,DC6,Zone1,Sub1,2190
211,DC6,Zone1,Sub2,2061
212,DC6,Zone1,Sub3,1946
213,DC6,Zone2,Sub1,1504
214,DC6,Zone2,Sub2,1728
215,DC6,Zone2,Sub3,1903
216,DC6,Zone3,Sub1,2637
217,DC6,Zone3,Sub2,2034
218,DC6,Zone3,Sub3,2275
219,DC6,Zone4,Sub1,316
220,DC6,Zone4,Sub2,344
221,DC6,Zone4,Sub3,297
222,DC6,Zone5,Sub1,803
223,DC6,Zone5,Sub2,924
224,DC6,Zone5,Sub3,895
225,DC6,Zone6,Sub1,453
226,DC6,Zone6,Sub2,461
227,DC6,Zone6,Sub3,398
228,DC6,Zone7,Sub1,1020
229,DC6,Zone7,Sub2,1236
230,DC6,Zone7,Sub3,1299
231,DC6,Zone8,Sub1,570
232,DC6,Zone8,Sub2,625
233,DC6,Zone8,Sub3,629
234,DC6,Zone9,Sub1,2403
235,DC6,Zone9,Sub2,2381
236,DC6,Zone9,Sub3,2217
237,DC6,Zone10,Sub1,1406
238,DC6,Zone10,Sub2,1511
239,DC6,Zone10,Sub3,1437
240,DC6,Zone11,Sub1,1094
241,DC6,Zone11,Sub2,1066
242,DC6,Zone11,Sub3,906
243,DC6,Zone12,Sub1,865
244,DC6,Zone12,Sub2,997
245,DC6,Zone12,Sub3,826
246,DC6,Zone13,Sub1,1009
247,DC6,Zone13,Sub2,915
248,DC6,Zone13,Sub3,1102
249,DC6,Zone14,Sub1,1276
250,DC6,Zone14,Sub2,1329
251,DC6,Zone14,Sub3,1404
