,Center,DemandZone,Subsection,Distance_km
184,DC5,Zone6,Sub2,827
185,DC5,Zone6,Sub3,777
186,DC5,Zone7,Sub1,1146
187,DC5,Zone7,Sub2,1048
188,DC5,Zone7,Sub3,1099
189,DC5,Zone8,Sub1,1157
190,DC5,Zone8,Sub2,1232
191,DC5,Zone8,Sub3,1536
192,DC5,Zone9,Sub1,538
193,DC5,Zone9,Sub2,530
194,DC5,Zone9,Sub3,461
195,DC5,Zone10,Sub1,623
196,DC5,Zone10,Sub2,711
197,DC5,Zone10,Sub3,738
198,DC5,Zone11,Sub1,1770
199,DC5,Zone11,Sub2,1610
200,DC5,Zone11,Sub3,1847
201,DC5,Zone12,Sub1,2150
202,DC5,Zone12,Sub2,2098
203,DC5,Zone12,Sub3,2213
204,DC5,Zone13,Sub1,343
205,DC5,Zone13,Sub2,312
206,DC5,Zone13,Sub3,295
207,DC5,Zone14,Sub1,1176
208,DC5,Zone14,Sub2,1286
209,DC5,Zone14,Sub3,1333
210,DC6,Zone1,Sub1,1022
211,DC6,Zone1,Sub2,1040
212,DC6,Zone1,Sub3,1092
213,DC6,Zone2,Sub1,1792
214,DC6,Zone2,Sub2,1626
215,DC6,Zone2,Sub3,1888
216,DC6,Zone3,Sub1,548
217,DC6,Zone3,Sub2,535
218,DC6,Zone3,Sub3,594
219,DC6,Zone4,Sub1,901
220,DC6,Zone4,Sub2,722
221,DC6,Zone4,Sub3,695
222,DC6,Zone5,Sub1,2413
223,DC6,Zone5,Sub2,2324
224,DC6,Zone5,Sub3,2780
225,DC6,Zone6,Sub1,1432
226,DC6,Zone6,Sub2,1243
227,DC6,Zone6,Sub3,1350
228,DC6,Zone7,Sub1,2504
229,DC6,Zone7,Sub2,2309
230,DC6,Zone7,Sub3,2232
231,DC6,Zone8,Sub1,2187
232,DC6,Zone8,Sub2,2472
233,DC6,Zone8,Sub3,2532
234,DC6,Zone9,Sub1,946
235,DC6,Zone9,Sub2,806
236,DC6,Zone9,Sub3,866
237,DC6,Zone10,Sub1,535
238,DC6,Zone10,Sub2,658
239,DC6,Zone10,Sub3,671
240,DC6,Zone11,Sub1,1226
241,DC6,Zone11,Sub2,1033
242,DC6,Zone11,Sub3,1175
243,DC6,Zone12,Sub1,1774
244,DC6,Zone12,Sub2,2081
245,DC6,Zone12,Sub3,2119
246,DC6,Zone13,Sub1,1049
247,DC6,Zone13,Sub2,876
248,DC6,Zone13,Sub3,1071
249,DC6,Zone14,Sub1,2054
250,DC6,Zone14,Sub2,2514
251,DC6,Zone14,Sub3,2166
