,Center,DemandZone,Subsection,Distance_km
76,DC2,Zone1,Sub2,1012
77,DC2,Zone1,Sub3,1148
78,DC2,Zone2,Sub1,1912
79,DC2,Zone2,Sub2,2169
80,DC2,Zone2,Sub3,2185
81,DC2,Zone3,Sub1,2092
82,DC2,Zone3,Sub2,2070
83,DC2,Zone3,Sub3,2059
84,DC2,Zone4,Sub1,2187
85,DC2,Zone4,Sub2,2327
86,DC2,Zone4,Sub3,2636
87,DC2,Zone5,Sub1,1304
88,DC2,Zone5,Sub2,1115
89,DC2,Zone5,Sub3,1303
90,DC2,Zone6,Sub1,2306
91,DC2,Zone6,Sub2,2130
92,DC2,Zone6,Sub3,1829
93,DC2,Zone7,Sub1,1204
94,DC2,Zone7,Sub2,1124
95,DC2,Zone7,Sub3,1269
96,DC2,Zone8,Sub1,2647
97,DC2,Zone8,Sub2,2252
98,DC2,Zone8,Sub3,2138
99,DC2,Zone9,Sub1,2433
100,DC2,Zone9,Sub2,2074
101,DC2,Zone9,Sub3,2013
102,DC2,Zone10,Sub1,1220
103,DC2,Zone10,Sub2,1245
104,DC2,Zone10,Sub3,1276
105,DC2,Zone11,Sub1,316
106,DC2,Zone11,Sub2,268
107,DC2,Zone11,Sub3,322
108,DC2,Zone12,Sub1,619
109,DC2,Zone12,Sub2,692
110,DC2,Zone12,Sub3,799
111,DC2,Zone13,Sub1,2389
112,DC2,Zone13,Sub2,2322
113,DC2,Zone13,Sub3,2230
114,DC2,Zone14,Sub1,534
115,DC2,Zone14,Sub2,497
116,DC2,Zone14,Sub3,558
117,DC2,Zone15,Sub1,264
118,DC2,Zone15,Sub2,240
119,DC2,Zone15,Sub3,222
120,DC2,Zone16,Sub1,1647
121,DC2,Zone16,Sub2,2101
122,DC2,Zone16,Sub3,1892
123,DC2,Zone17,Sub1,1931
124,DC2,Zone17,Sub2,1819
125,DC2,Zone17,Sub3,1923
126,DC2,Zone18,Sub1,2295
127,DC2,Zone18,Sub2,2042
128,DC2,Zone18,Sub3,2237
129,DC2,Zone19,Sub1,2367
130,DC2,Zone19,Sub2,2575
131,DC2,Zone19,Sub3,2680
132,DC2,Zone20,Sub1,1474
133,DC2,Zone20,Sub2,1468
134,DC2,Zone20,Sub3,1519
135,DC2,Zone21,Sub1,432
136,DC2,Zone21,Sub2,536
137,DC2,Zone21,Sub3,494
138,DC2,Zone22,Sub1,2256
139,DC2,Zone22,Sub2,2292
140,DC2,Zone22,Sub3,2288
141,DC2,Zone23,Sub1,1436
142,DC2,Zone23,Sub2,1178
143,DC2,Zone23,Sub3,1199
144,DC2,Zone24,Sub1,1839
145,DC2,Zone24,Sub2,1485
146,DC2,Zone24,Sub3,1858
147,DC2,Zone25,Sub1,2130
148,DC2,Zone25,Sub2,2552
149,DC2,Zone25,Sub3,2622
150,DC3,Zone1,Sub1,1280
151,DC3,Zone1,Sub2,1382
152,DC3,Zone1,Sub3,1477
153,DC3,Zone2,Sub1,407
154,DC3,Zone2,Sub2,424
155,DC3,Zone2,Sub3,498
156,DC3,Zone3,Sub1,1877
157,DC3,Zone3,Sub2,1978
158,DC3,Zone3,Sub3,1581
159,DC3,Zone4,Sub1,835
160,DC3,Zone4,Sub2,920
161,DC3,Zone4,Sub3,922
162,DC3,Zone5,Sub1,1129
163,DC3,Zone5,Sub2,1029
164,DC3,Zone5,Sub3,849
165,DC3,Zone6,Sub1,1654
166,DC3,Zone6,Sub2,1491
167,DC3,Zone6,Sub3,1433
168,DC3,Zone7,Sub1,1982
169,DC3,Zone7,Sub2,1888
170,DC3,Zone7,Sub3,2306
171,DC3,Zone8,Sub1,2021
172,DC3,Zone8,Sub2,2357
173,DC3,Zone8,Sub3,2164
174,DC3,Zone9,Sub1,2669
175,DC3,Zone9,Sub2,2383
176,DC3,Zone9,Sub3,2354
177,DC3,Zone10,Sub1,1778
178,DC3,Zone10,Sub2,1490
179,DC3,Zone10,Sub3,1476
180,DC3,Zone11,Sub1,2293
181,DC3,Zone11,Sub2,2127
182,DC3,Zone11,Sub3,1882
183,DC3,Zone12,Sub1,1070
184,DC3,Zone12,Sub2,973
185,DC3,Zone12,Sub3,1191
186,DC3,Zone13,Sub1,2245
187,DC3,Zone13,Sub2,2261
188,DC3,Zone13,Sub3,2181
189,DC3,Zone14,Sub1,1474
190,DC3,Zone14,Sub2,1682
191,DC3,Zone14,Sub3,1566
192,DC3,Zone15,Sub1,1720
193,DC3,Zone15,Sub2,1723
194,DC3,Zone15,Sub3,2176
195,DC3,Zone16,Sub1,2020
196,DC3,Zone16,Sub2,2039
197,DC3,Zone16,Sub3,2540
198,DC3,Zone17,Sub1,1500
199,DC3,Zone17,Sub2,1523
200,DC3,Zone17,Sub3,1196
201,DC3,Zone18,Sub1,1556
202,DC3,Zone18,Sub2,1361
203,DC3,Zone18,Sub3,1332
204,DC3,Zone19,Sub1,640
205,DC3,Zone19,Sub2,738
206,DC3,Zone19,Sub3,731
207,DC3,Zone20,Sub1,671
208,DC3,Zone20,Sub2,585
209,DC3,Zone20,Sub3,605
210,DC3,Zone21,Sub1,1092
211,DC3,Zone21,Sub2,1119
212,DC3,Zone21,Sub3,1173
213,DC3,Zone22,Sub1,1992
214,DC3,Zone22,Sub2,1930
215,DC3,Zone22,Sub3,1656
216,DC3,Zone23,Sub1,2196
217,DC3,Zone23,Sub2,2285
218,DC3,Zone23,Sub3,2388
219,DC3,Zone24,Sub1,1336
220,DC3,Zone24,Sub2,1477
221,DC3,Zone24,Sub3,1287
222,DC3,Zone25,Sub1,863
223,DC3,Zone25,Sub2,1055
224,DC3,Zone25,Sub3,979
225,DC4,Zone1,Sub1,637
226,DC4,Zone1,Sub2,608
227,DC4,Zone1,Sub3,604
228,DC4,Zone2,Sub1,2323
229,DC4,Zone2,Sub2,2031
230,DC4,Zone2,Sub3,2180
231,DC4,Zone3,Sub1,1735
232,DC4,Zone3,Sub2,1963
233,DC4,Zone3,Sub3,1857
234,DC4,Zone4,Sub1,2231
235,DC4,Zone4,Sub2,2226
236,DC4,Zone4,Sub3,2156
237,DC4,Zone5,Sub1,262
238,DC4,Zone5,Sub2,223
239,DC4,Zone5,Sub3,248
240,DC4,Zone6,Sub1,2456
241,DC4,Zone6,Sub2,2021
242,DC4,Zone6,Sub3,2114
243,DC4,Zone7,Sub1,858
244,DC4,Zone7,Sub2,887
245,DC4,Zone7,Sub3,756
246,DC4,Zone8,Sub1,1452
247,DC4,Zone8,Sub2,1673
248,DC4,Zone8,Sub3,1407
249,DC4,Zone9,Sub1,2518
250,DC4,Zone9,Sub2,2159
251,DC4,Zone9,Sub3,2210
252,DC4,Zone10,Sub1,2536
253,DC4,Zone10,Sub2,2229
254,DC4,Zone10,Sub3,2539
255,DC4,Zone11,Sub1,1219
256,DC4,Zone11,Sub2,1344
257,DC4,Zone11,Sub3,1400
258,DC4,Zone12,Sub1,385
259,DC4,Zone12,Sub2,440
260,DC4,Zone12,Sub3,433
261,DC4,Zone13,Sub1,1641
262,DC4,Zone13,Sub2,1752
263,DC4,Zone13,Sub3,1878
264,DC4,Zone14,Sub1,829
265,DC4,Zone14,Sub2,813
266,DC4,Zone14,Sub3,869
267,DC4,Zone15,Sub1,271
268,DC4,Zone15,Sub2,239
269,DC4,Zone15,Sub3,246
270,DC4,Zone16,Sub1,1571
271,DC4,Zone16,Sub2,1697
272,DC4,Zone16,Sub3,1630
273,DC4,Zone17,Sub1,420
274,DC4,Zone17,Sub2,326
275,DC4,Zone17,Sub3,387
276,DC4,Zone18,Sub1,1495
277,DC4,Zone18,Sub2,1412
278,DC4,Zone18,Sub3,1810
279,DC4,Zone19,Sub1,1942
280,DC4,Zone19,Sub2,2597
281,DC4,Zone19,Sub3,2353
282,DC4,Zone20,Sub1,1551
283,DC4,Zone20,Sub2,1677
284,DC4,Zone20,Sub3,1541
285,DC4,Zone21,Sub1,468
286,DC4,Zone21,Sub2,459
287,DC4,Zone21,Sub3,380
288,DC4,Zone22,Sub1,1005
289,DC4,Zone22,Sub2,885
290,DC4,Zone22,Sub3,815
291,DC4,Zone23,Sub1,1491
292,DC4,Zone23,Sub2,1547
293,DC4,Zone23,Sub3,1352
294,DC4,Zone24,Sub1,1061
295,DC4,Zone24,Sub2,1127
296,DC4,Zone24,Sub3,1091
297,DC4,Zone25,Sub1,2182
298,DC4,Zone25,Sub2,2352
299,DC4,Zone25,Sub3,2366
300,DC5,Zone1,Sub1,878
301,DC5,Zone1,Sub2,785
302,DC5,Zone1,Sub3,1015
303,DC5,Zone2,Sub1,876
304,DC5,Zone2,Sub2,827
305,DC5,Zone2,Sub3,914
306,DC5,Zone3,Sub1,786
307,DC5,Zone3,Sub2,933
308,DC5,Zone3,Sub3,882
309,DC5,Zone4,Sub1,1400
310,DC5,Zone4,Sub2,1615
311,DC5,Zone4,Sub3,1341
312,DC5,Zone5,Sub1,2103
313,DC5,Zone5,Sub2,2038
314,DC5,Zone5,Sub3,2278
315,DC5,Zone6,Sub1,1879
316,DC5,Zone6,Sub2,2263
317,DC5,Zone6,Sub3,2167
318,DC5,Zone7,Sub1,1127
319,DC5,Zone7,Sub2,1300
320,DC5,Zone7,Sub3,1263
321,DC5,Zone8,Sub1,1149
322,DC5,Zone8,Sub2,1289
323,DC5,Zone8,Sub3,1296
324,DC5,Zone9,Sub1,2226
325,DC5,Zone9,Sub2,2307
326,DC5,Zone9,Sub3,2584
327,DC5,Zone10,Sub1,639
328,DC5,Zone10,Sub2,601
329,DC5,Zone10,Sub3,613
330,DC5,Zone11,Sub1,2480
331,DC5,Zone11,Sub2,2158
332,DC5,Zone11,Sub3,2269
333,DC5,Zone12,Sub1,2200
334,DC5,Zone12,Sub2,2430
335,DC5,Zone12,Sub3,2101
336,DC5,Zone13,Sub1,2166
337,DC5,Zone13,Sub2,2538
338,DC5,Zone13,Sub3,2215
339,DC5,Zone14,Sub1,2631
340,DC5,Zone14,Sub2,2070
341,DC5,Zone14,Sub3,2406
342,DC5,Zone15,Sub1,1820
343,DC5,Zone15,Sub2,1915
344,DC5,Zone15,Sub3,1988
345,DC5,Zone16,Sub1,1584
346,DC5,Zone16,Sub2,1538
347,DC5,Zone16,Sub3,1548
348,DC5,Zone17,Sub1,400
349,DC5,Zone17,Sub2,333
350,DC5,Zone17,Sub3,406
351,DC5,Zone18,Sub1,1104
352,DC5,Zone18,Sub2,981
353,DC5,Zone18,Sub3,1121
354,DC5,Zone19,Sub1,1414
355,DC5,Zone19,Sub2,1601
356,DC5,Zone19,Sub3,1733
357,DC5,Zone20,Sub1,802
358,DC5,Zone20,Sub2,836
359,DC5,Zone20,Sub3,730
360,DC5,Zone21,Sub1,1861
361,DC5,Zone21,Sub2,2401
362,DC5,Zone21,Sub3,1833
363,DC5,Zone22,Sub1,699
364,DC5,Zone22,Sub2,840
365,DC5,Zone22,Sub3,744
366,DC5,Zone23,Sub1,1892
367,DC5,Zone23,Sub2,2133
368,DC5,Zone23,Sub3,1894
369,DC5,Zone24,Sub1,1023
370,DC5,Zone24,Sub2,830
371,DC5,Zone24,Sub3,919
372,DC5,Zone25,Sub1,952
373,DC5,Zone25,Sub2,939
374,DC5,Zone25,Sub3,949
375,DC6,Zone1,Sub1,2612
376,DC6,Zone1,Sub2,2285
377,DC6,Zone1,Sub3,2807
378,DC6,Zone2,Sub1,2324
379,DC6,Zone2,Sub2,2376
380,DC6,Zone2,Sub3,2718
381,DC6,Zone3,Sub1,2099
382,DC6,Zone3,Sub2,2218
383,DC6,Zone3,Sub3,2303
384,DC6,Zone4,Sub1,274
385,DC6,Zone4,Sub2,273
386,DC6,Zone4,Sub3,269
387,DC6,Zone5,Sub1,2617
388,DC6,Zone5,Sub2,2648
389,DC6,Zone5,Sub3,2297
390,DC6,Zone6,Sub1,719
391,DC6,Zone6,Sub2,733
392,DC6,Zone6,Sub3,727
393,DC6,Zone7,Sub1,1501
394,DC6,Zone7,Sub2,1467
395,DC6,Zone7,Sub3,1422
396,DC6,Zone8,Sub1,1084
397,DC6,Zone8,Sub2,1379
398,DC6,Zone8,Sub3,1153
399,DC6,Zone9,Sub1,532
400,DC6,Zone9,Sub2,527
401,DC6,Zone9,Sub3,518
402,DC6,Zone10,Sub1,2305
403,DC6,Zone10,Sub2,2080
404,DC6,Zone10,Sub3,2216
405,DC6,Zone11,Sub1,859
406,DC6,Zone11,Sub2,954
407,DC6,Zone11,Sub3,802
408,DC6,Zone12,Sub1,1337
409,DC6,Zone12,Sub2,1362
410,DC6,Zone12,Sub3,1663
411,DC6,Zone13,Sub1,361
412,DC6,Zone13,Sub2,416
413,DC6,Zone13,Sub3,391
414,DC6,Zone14,Sub1,1644
415,DC6,Zone14,Sub2,1570
416,DC6,Zone14,Sub3,1729
417,DC6,Zone15,Sub1,1733
418,DC6,Zone15,Sub2,1908
419,DC6,Zone15,Sub3,2022
420,DC6,Zone16,Sub1,1206
421,DC6,Zone16,Sub2,1343
422,DC6,Zone16,Sub3,1157
423,DC6,Zone17,Sub1,843
424,DC6,Zone17,Sub2,992
425,DC6,Zone17,Sub3,991
426,DC6,Zone18,Sub1,492
427,DC6,Zone18,Sub2,569
428,DC6,Zone18,Sub3,506
429,DC6,Zone19,Sub1,1956
430,DC6,Zone19,Sub2,2188
431,DC6,Zone19,Sub3,1876
432,DC6,Zone20,Sub1,519
433,DC6,Zone20,Sub2,520
434,DC6,Zone20,Sub3,452
435,DC6,Zone21,Sub1,1142
436,DC6,Zone21,Sub2,1187
437,DC6,Zone21,Sub3,1316
438,DC6,Zone22,Sub1,2227
439,DC6,Zone22,Sub2,2342
440,DC6,Zone22,Sub3,2253
441,DC6,Zone23,Sub1,1884
442,DC6,Zone23,Sub2,1928
443,DC6,Zone23,Sub3,1654
444,DC6,Zone24,Sub1,781
445,DC6,Zone24,Sub2,625
446,DC6,Zone24,Sub3,588
447,DC6,Zone25,Sub1,2235
448,DC6,Zone25,Sub2,2206
449,DC6,Zone25,Sub3,2326
450,DC7,Zone1,Sub1,1322
451,DC7,Zone1,Sub2,1255
452,DC7,Zone1,Sub3,1312
453,DC7,Zone2,Sub1,1741
454,DC7,Zone2,Sub2,2178
455,DC7,Zone2,Sub3,2143
456,DC7,Zone3,Sub1,1728
457,DC7,Zone3,Sub2,1811
458,DC7,Zone3,Sub3,1432
459,DC7,Zone4,Sub1,769
460,DC7,Zone4,Sub2,856
461,DC7,Zone4,Sub3,788
462,DC7,Zone5,Sub1,1395
463,DC7,Zone5,Sub2,1247
464,DC7,Zone5,Sub3,1400
465,DC7,Zone6,Sub1,813
466,DC7,Zone6,Sub2,777
467,DC7,Zone6,Sub3,803
468,DC7,Zone7,Sub1,1990
469,DC7,Zone7,Sub2,2115
470,DC7,Zone7,Sub3,2360
471,DC7,Zone8,Sub1,720
472,DC7,Zone8,Sub2,869
473,DC7,Zone8,Sub3,799
474,DC7,Zone9,Sub1,1105
475,DC7,Zone9,Sub2,1033
476,DC7,Zone9,Sub3,959
477,DC7,Zone10,Sub1,1837
478,DC7,Zone10,Sub2,1903
479,DC7,Zone10,Sub3,1769
480,DC7,Zone11,Sub1,665
481,DC7,Zone11,Sub2,565
482,DC7,Zone11,Sub3,646
483,DC7,Zone12,Sub1,241
484,DC7,Zone12,Sub2,229
485,DC7,Zone12,Sub3,236
486,DC7,Zone13,Sub1,2069
487,DC7,Zone13,Sub2,2394
488,DC7,Zone13,Sub3,2205
489,DC7,Zone14,Sub1,1482
490,DC7,Zone14,Sub2,1528
491,DC7,Zone14,Sub3,1396
492,DC7,Zone15,Sub1,539
493,DC7,Zone15,Sub2,637
494,DC7,Zone15,Sub3,656
495,DC7,Zone16,Sub1,1596
496,DC7,Zone16,Sub2,1643
497,DC7,Zone16,Sub3,1942
498,DC7,Zone17,Sub1,1512
499,DC7,Zone17,Sub2,1296
500,DC7,Zone17,Sub3,1410
501,DC7,Zone18,Sub1,606
502,DC7,Zone18,Sub2,668
503,DC7,Zone18,Sub3,514
504,DC7,Zone19,Sub1,1565
505,DC7,Zone19,Sub2,1363
506,DC7,Zone19,Sub3,1309
507,DC7,Zone20,Sub1,2780
508,DC7,Zone20,Sub2,2282
509,DC7,Zone20,Sub3,2171
510,DC7,Zone21,Sub1,803
511,DC7,Zone21,Sub2,1004
512,DC7,Zone21,Sub3,992
513,DC7,Zone22,Sub1,2282
514,DC7,Zone22,Sub2,2421
515,DC7,Zone22,Sub3,2701
516,DC7,Zone23,Sub1,1699
517,DC7,Zone23,Sub2,1779
518,DC7,Zone23,Sub3,1711
519,DC7,Zone24,Sub1,793
520,DC7,Zone24,Sub2,868
521,DC7,Zone24,Sub3,706
522,DC7,Zone25,Sub1,1366
523,DC7,Zone25,Sub2,1267
524,DC7,Zone25,Sub3,1129
525,DC8,Zone1,Sub1,227
526,DC8,Zone1,Sub2,279
527,DC8,Zone1,Sub3,228
528,DC8,Zone2,Sub1,1393
529,DC8,Zone2,Sub2,1367
530,DC8,Zone2,Sub3,1256
531,DC8,Zone3,Sub1,1643
532,DC8,Zone3,Sub2,1540
533,DC8,Zone3,Sub3,1695
534,DC8,Zone4,Sub1,1421
535,DC8,Zone4,Sub2,1450
536,DC8,Zone4,Sub3,1340
537,DC8,Zone5,Sub1,1236
538,DC8,Zone5,Sub2,1109
539,DC8,Zone5,Sub3,1136
540,DC8,Zone6,Sub1,419
541,DC8,Zone6,Sub2,428
542,DC8,Zone6,Sub3,418
543,DC8,Zone7,Sub1,2021
544,DC8,Zone7,Sub2,2220
545,DC8,Zone7,Sub3,2287
546,DC8,Zone8,Sub1,1353
547,DC8,Zone8,Sub2,1646
548,DC8,Zone8,Sub3,1481
549,DC8,Zone9,Sub1,835
550,DC8,Zone9,Sub2,976
551,DC8,Zone9,Sub3,847
552,DC8,Zone10,Sub1,2644
553,DC8,Zone10,Sub2,2388
554,DC8,Zone10,Sub3,2450
555,DC8,Zone11,Sub1,216
556,DC8,Zone11,Sub2,231
557,DC8,Zone11,Sub3,224
558,DC8,Zone12,Sub1,2391
559,DC8,Zone12,Sub2,2391
560,DC8,Zone12,Sub3,2479
561,DC8,Zone13,Sub1,244
562,DC8,Zone13,Sub2,245
563,DC8,Zone13,Sub3,237
564,DC8,Zone14,Sub1,596
565,DC8,Zone14,Sub2,588
566,DC8,Zone14,Sub3,688
567,DC8,Zone15,Sub1,1211
568,DC8,Zone15,Sub2,938
569,DC8,Zone15,Sub3,1215
570,DC8,Zone16,Sub1,896
571,DC8,Zone16,Sub2,1085
572,DC8,Zone16,Sub3,1012
573,DC8,Zone17,Sub1,1297
574,DC8,Zone17,Sub2,1175
575,DC8,Zone17,Sub3,1309
576,DC8,Zone18,Sub1,1697
577,DC8,Zone18,Sub2,1759
578,DC8,Zone18,Sub3,1800
579,DC8,Zone19,Sub1,1698
580,DC8,Zone19,Sub2,2085
581,DC8,Zone19,Sub3,1781
582,DC8,Zone20,Sub1,2004
583,DC8,Zone20,Sub2,1830
584,DC8,Zone20,Sub3,1886
585,DC8,Zone21,Sub1,1676
586,DC8,Zone21,Sub2,2028
587,DC8,Zone21,Sub3,1907
588,DC8,Zone22,Sub1,195
589,DC8,Zone22,Sub2,239
590,DC8,Zone22,Sub3,233
591,DC8,Zone23,Sub1,2097
592,DC8,Zone23,Sub2,2294
593,DC8,Zone23,Sub3,1923
594,DC8,Zone24,Sub1,1804
595,DC8,Zone24,Sub2,1998
596,DC8,Zone24,Sub3,1944
597,DC8,Zone25,Sub1,2052
598,DC8,Zone25,Sub2,2315
599,DC8,Zone25,Sub3,1987
600,DC9,Zone1,Sub1,2071
601,DC9,Zone1,Sub2,2332
602,DC9,Zone1,Sub3,2391
603,DC9,Zone2,Sub1,1267
604,DC9,Zone2,Sub2,1295
605,DC9,Zone2,Sub3,1467
606,DC9,Zone3,Sub1,2220
607,DC9,Zone3,Sub2,2038
608,DC9,Zone3,Sub3,2276
609,DC9,Zone4,Sub1,1253
610,DC9,Zone4,Sub2,1262
611,DC9,Zone4,Sub3,1017
612,DC9,Zone5,Sub1,1743
613,DC9,Zone5,Sub2,1703
614,DC9,Zone5,Sub3,1395
615,DC9,Zone6,Sub1,1221
616,DC9,Zone6,Sub2,1135
617,DC9,Zone6,Sub3,1480
618,DC9,Zone7,Sub1,1321
619,DC9,Zone7,Sub2,1309
620,DC9,Zone7,Sub3,1325
621,DC9,Zone8,Sub1,1710
622,DC9,Zone8,Sub2,1692
623,DC9,Zone8,Sub3,1575
624,DC9,Zone9,Sub1,1412
625,DC9,Zone9,Sub2,1578
626,DC9,Zone9,Sub3,1550
627,DC9,Zone10,Sub1,1819
628,DC9,Zone10,Sub2,1882
629,DC9,Zone10,Sub3,2160
630,DC9,Zone11,Sub1,2007
631,DC9,Zone11,Sub2,2394
632,DC9,Zone11,Sub3,2620
633,DC9,Zone12,Sub1,1848
634,DC9,Zone12,Sub2,2312
635,DC9,Zone12,Sub3,2293
636,DC9,Zone13,Sub1,1894
637,DC9,Zone13,Sub2,2067
638,DC9,Zone13,Sub3,1735
639,DC9,Zone14,Sub1,1406
640,DC9,Zone14,Sub2,1464
641,DC9,Zone14,Sub3,1395
642,DC9,Zone15,Sub1,380
643,DC9,Zone15,Sub2,373
644,DC9,Zone15,Sub3,437
645,DC9,Zone16,Sub1,234
646,DC9,Zone16,Sub2,275
647,DC9,Zone16,Sub3,291
648,DC9,Zone17,Sub1,778
649,DC9,Zone17,Sub2,936
650,DC9,Zone17,Sub3,943
651,DC9,Zone18,Sub1,623
652,DC9,Zone18,Sub2,772
653,DC9,Zone18,Sub3,636
654,DC9,Zone19,Sub1,210
655,DC9,Zone19,Sub2,210
656,DC9,Zone19,Sub3,192
657,DC9,Zone20,Sub1,2718
658,DC9,Zone20,Sub2,2560
659,DC9,Zone20,Sub3,2371
660,DC9,Zone21,Sub1,1813
661,DC9,Zone21,Sub2,1602
662,DC9,Zone21,Sub3,1685
663,DC9,Zone22,Sub1,930
664,DC9,Zone22,Sub2,933
665,DC9,Zone22,Sub3,918
666,DC9,Zone23,Sub1,2099
667,DC9,Zone23,Sub2,2150
668,DC9,Zone23,Sub3,2559
669,DC9,Zone24,Sub1,2143
670,DC9,Zone24,Sub2,2281
671,DC9,Zone24,Sub3,1898
672,DC9,Zone25,Sub1,1609
673,DC9,Zone25,Sub2,1403
674,DC9,Zone25,Sub3,1349
